MolecularFormula,split,smiles,Activity(IC50),Activity(pIC50)
C20H28F2N4O4S,train,CS(=O)(=O)c1ccc([C@H]2NO[C@H]([C@@H](CC3CC3)[C@H](N)C(=O)N3CC[C@H](F)C3)N2)c(F)c1,19,7.721246399
C18H21N5O2,train,N[C@H]1CN(C(=O)c2cnc3ccccc3n2)C[C@H]1C(=O)N1CCCC1,65,7.187086643
C7H4Cl2O3,train,O=C(O)c1c(Cl)ccc(Cl)c1O,7,8.15490196
C9H20O5,train,OCCC(CCO)C(CO)(CO)CO,2000,5.698970004
C20H21ClN4O3,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccc(Cl)cc3C2)C(=O)N1,100000,4
C20H21FN4O3,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccc(F)cc3C2)C(=O)N1,100000,4
C21H21F3N4O3,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccc(C(F)(F)F)cc3C2)C(=O)N1,100000,4
C21H24N4O3,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCc3ccccc3C2)C(=O)N1,100000,4
C19H22N4O3S,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCc3ccsc3C2)C(=O)N1,100000,4
C19H21F3N6O3,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCn3cc(C(F)(F)F)nc3C2)C(=O)N1,100000,4
C22H26FN5O3,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCN(c3ccc(F)cc3)CC2)C(=O)N1,100000,4
C23H25ClN4O3,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CC=C(c3ccc(Cl)cc3)CC2)C(=O)N1,100000,4
C16H22N4O3,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCCC2)C(=O)N1,100000,4
C17H24N4O3,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCCCC2)C(=O)N1,100000,4
C18H20N4O3,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)Nc2ccccc2)C(=O)N1,100000,4
C20H21FN4O3,train,N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccccc3C2)C(=O)N1,100000,4
C20H20ClFN4O3,train,N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccc(Cl)cc3C2)C(=O)N1,100000,4
C20H20F2N4O3,train,N#C[C@@H]1CC(F)(F)CN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccccc3C2)C(=O)N1,100000,4
C18H21N3O3S,train,O=C1N[C@H](C(=O)N2CCSC2)C[C@H]1CC(=O)N1Cc2ccccc2C1,100000,4
C19H23N3O3,train,O=C1N[C@H](C(=O)N2CCCC2)C[C@H]1CC(=O)N1Cc2ccccc2C1,100000,4
C19H24BN3O5,train,O=C1N[C@H](C(=O)N2CCC[C@H]2B(O)O)C[C@H]1CC(=O)N1Cc2ccccc2C1,570,6.244125144
C24H32N4O4,train,CC(C)(C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2Cc3ccccc3C2)C(=O)N1,100000,4
C20H22N4O3,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC(CC(=O)N2Cc3ccccc3C2)C(=O)N1,100000,4
C18H22N4O2,train,N#C[C@@H]1CCCN1C(=O)[C@@H](N)CCCN1Cc2ccccc2C1=O,10,8
C18H17N3O2,train,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1cccc2ccccc12,100000,4
C20H22N4O3,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](CC(=O)N2Cc3ccccc3C2)C(=O)N1,100000,4
C24H27F3N4O3,train,COc1ccc(CN2CC3CN(C(=O)C[C@H](N)Cc4cc(F)c(F)cc4F)CCN3C2=O)cc1,360,6.443697499
C24H27F3N4O3,train,COc1cccc(CN2CC3CN(C(=O)C[C@H](N)Cc4cc(F)c(F)cc4F)CCN3C2=O)c1,124,6.906578315
C16H18F3N3O3,train,N[C@@H](CC(=O)N1CCN2C(=O)OCC2C1)Cc1cc(F)c(F)cc1F,2300,5.638272164
C18H23F3N4O2,train,CCN1CC2CN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)CCN2C1=O,460,6.337242168
C23H24F4N4O2,train,N[C@@H](CC(=O)N1CCN2C(=O)N(Cc3ccc(F)cc3)CC2C1)Cc1cc(F)c(F)cc1F,1236,5.907981529
C20H23ClFN5O,train,Cn1cnc2cc(N3CCC[C@@](C)(N)C3)n(Cc3cc(F)ccc3Cl)c2c1=O,103,6.987162775
C21H26FN5O,train,Cc1ccc(F)cc1Cn1c(N2CCC[C@@](C)(N)C2)cc2ncn(C)c(=O)c21,23,7.638272164
C21H24N6O,train,Cn1cnc2cc(N3CCC[C@@](C)(N)C3)n(Cc3ccccc3C#N)c2c1=O,151,6.821023053
C23H27FN6O2,train,CCn1c(=O)n(C)c(=O)c2c1cc(N1CCC[C@@](C)(N)C1)n2Cc1cc(F)ccc1C#N,12,7.920818754
C24H30ClFN6O3,train,CN(C)C(=O)Cn1c(=O)n(C)c(=O)c2c1cc(N1CCC[C@@](C)(N)C1)n2Cc1cc(F)ccc1Cl,13,7.886056648
C17H25N3O2,train,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,70,7.15490196
C4H11N5,train,CN(C)C(=N)NC(=N)N,29000,4.537602002
C10H21N3O2,train,NCCCCC(N)C(=O)N1CCC(O)C1,500000,3.301029996
C10H20N6O,train,[N-]=[N+]=NC1CCN(C(=O)C(N)CCCCN)C1,1000000,3
C12H22N4O,train,N#CC1CCCCN1C(=O)C(N)CCCCN,51000,4.292429824
C17H25N3O3,train,NCCCCC(N)C(=O)N1CCC(OC(=O)c2ccccc2)C1,1000000,3
C11H23N5O,train,NC(N)=NCCCC(N)C(=O)N1CCCCC1,18100,4.742321425
C10H20N2O,train,CCCC(N)C(=O)N1CCCCC1,229000,3.640164518
C10H22N2O,train,CCC(C)C(N)C(=O)N(CC)CC,500000,3.301029996
C9H19N3O,train,NCC[C@@H](N)C(=O)N1CCCCC1,1000000,3
C11H23N3S,train,NCCCC[C@@H](N)C(=S)N1CCCCC1,1000000,3
C8H16N2O2,train,NC(CO)C(=O)N1CCCCC1,67000,4.173925197
C11H22N2O,train,CCCCC(N)C(=O)N1CCCCC1,250000,3.602059991
C10H20N2O2,train,CCC(C)C(N)C(=O)N1CCC(O)C1,93000,4.031517051
C9H19N3O,train,NCCC(N)C(=O)N1CCCCC1,500000,3.301029996
C8H18N2O,train,CCC(C)C(N)C(=O)N(C)C,360000,3.443697499
