MolecularFormula,split,smiles,Activity(IC50),Activity(pIC50)
C21H27F3N4O2,train,CC(C)(CC(=O)NCCc1cccc(C(F)(F)F)c1)NCC(=O)N1CCC[C@H]1C#N,247,6.607303047
C14H17F2N3O2,train,C[C@@H]1C(=O)NCN1C(=O)C[C@H](N)Cc1cc(F)ccc1F,160,6.795880017
C19H26N4O3,train,COc1ccc(NC(=O)CC(C)(C)NCC(=O)N2CCC[C@H]2C#N)cc1,253,6.596879479
C18H22F2N4O2,train,CC(C)(CC(=O)Nc1ccc(F)c(F)c1)NCC(=O)N1CCC[C@H]1C#N,225,6.647817482
C22H24F3N3O2,train,N[C@@H](CC(=O)N1CCCNC(=O)[C@H]1Cc1ccccc1)Cc1cc(F)c(F)cc1F,0.91,9.040958608
C17H22ClN5O4S,train,C[C@H](c1nc(-c2ccc(NS(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CCCC1,8,8.096910013
C20H24N2O2,train,Cc1ccc(C(=O)CN[C@H](C)CCc2ccc(C(N)=O)cc2)cc1,21000,4.677780705
C14H17BN2O4,train,O=C1c2ccccc2CN1CC(=O)N1CCC[C@H]1B(O)O,8000,5.096910013
C17H21ClFN5O4S,train,C[C@H](c1nc(-c2ccc(NS(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CC[C@H](F)C1,19,7.721246399
C21H20ClN5O,train,N#Cc1ccccc1Cn1c(N2CCCC(N)C2)nc2c(Cl)cccc2c1=O,29,7.537602002
C17H23N3O2S,train,COc1ccc2c(c1)CCN2[C@@H]1CN[C@H](C(=O)N2CCSC2)C1,4.8,8.318758763
C16H16Cl2F3N5O,train,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1ccc(Cl)c(Cl)c1,1580,5.801342913
C16H17F4N5O,train,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1ccccc1F,98,7.008773924
C22H26FN3O3,train,CN(C)C(=O)[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CCOCC1,520,6.283996656
C23H21F3N2O2,train,N[C@H]1Cc2c(ccc3cc(N4CCOCC4)ccc23)O[C@@H]1c1cc(F)c(F)cc1F,70.42,7.152303979
C20H29N3O,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC(C2C3CC4CC(C3)CC2C4)CN1,7.8,8.107905397
C16H16F5N5O,train,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1ccc(F)cc1F,82,7.086186148
C19H13BrF3NO,train,N[C@@H]1Cc2c(ccc3cc(Br)ccc23)O[C@H]1c1cc(F)c(F)cc1F,39.2,7.406713933
C16H21N3OS,train,O=C([C@@H]1C[C@H](N2CCc3ccccc32)CN1)N1CCSC1,11,7.958607315
C27H41N7O4,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CCCN1CCC(C(=O)OC(C)C)CC1)c(=O)n2C,140,6.853871964
C19H25N3O2,train,Cc1cc(C)c([C@@H]2CN[C@H](C(=O)N3CCC[C@H]3C#N)C2)c(C)c1O,5.3,8.27572413
C26H33N7O5,train,C/C=C/Cn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1OCC(=O)NC)c(=O)n2C,1,9
C19H17F3N4,train,N[C@H]1CN(c2cnc3ccccc3n2)CC[C@@H]1c1cc(F)c(F)cc1F,12,7.920818754
C18H21F2N5O3,train,CCOC(=O)c1nnc2n1CCN(C(=O)C[C@H](N)Cc1cc(F)ccc1F)C2,190,6.721246399
C17H15F6N3,train,N[C@H]1CN(c2cc(C(F)(F)F)ccn2)CC[C@@H]1c1cc(F)c(F)cc1F,463,6.334419009
C30H39ClN8O3,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CCCN1CCC(C(=O)Nc3ccc(Cl)cc3)CC1)c(=O)n2C,360,6.443697499
C20H26N4O3S,train,CCOC(=O)CN(Cc1ccc(C#N)cc1)[C@@H]1CN[C@H](C(=O)N2CCSC2)C1,13.6,7.866461092
C19H22F2N4O2S,train,CS(=O)(=O)n1cc2c(n1)CN([C@@H]1C[C@H](N)[C@@H](c3cc(F)ccc3F)[C@H]3CC31)C2,9,8.045757491
C16H16N4O2,train,N#CC1CCCN1C(=O)CNC(=O)c1cc2ccccc2[nH]1,100000,4
C26H40N8O3,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CCCN1CCC(C(=O)N(C)C)CC1)c(=O)n2C,260,6.585026652
C18H15F6N5,train,N[C@H]1CN(c2ccc3nc(C(F)(F)F)cn3n2)CC[C@@H]1c1cc(F)c(F)cc1F,22,7.657577319
C31H42N8O3,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CCCN1CCC(C(=O)Nc3ccc(C)cc3)CC1)c(=O)n2C,300,6.522878745
C26H29N7O2,train,CC#CCn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(Cc1nc(C)cc3ccccc13)c(=O)n2C,3,8.522878745
C20H28N4OS,train,CCCCN(Cc1ccc(C#N)cc1)[C@@H]1CN[C@H](C(=O)N2CCSC2)C1,9.1,8.040958608
C15H18N4O3S2,train,N#Cc1ccc(S(=O)(=O)N[C@@H]2CN[C@H](C(=O)N3CCSC3)C2)cc1,300,6.522878745
C29H43N7O4,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CCCN1CCC(C(=O)OC3CCCC3)CC1)c(=O)n2C,890,6.050609993
C18H18N4O2,train,[C-]#[N+][C@@H]1CCCN1C(=O)CNC(=O)c1ccnc2cc(C)ccc12,100000,4
C28H43N7O4,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CCCCC1CCN(C(=O)OC(C)C)CC1)c(=O)n2C,250,6.602059991
C16H16F3N3,train,N[C@H]1CN(c2ccncc2)CC[C@@H]1c1cc(F)c(F)cc1F,125,6.903089987
C16H19N3O2,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](c2ccc(O)cc2)CN1,2.5,8.602059991
C18H20F3N5O,train,N[C@@H](CC(=O)N1CCn2c(nnc2C2CC2)C1)Cc1cc(F)c(F)cc1F,30,7.522878745
C17H17F3N6O,train,Cn1nc2ccc(N3CC[C@H](c4cc(F)c(F)cc4F)[C@@H](N)C3)nn2c1=O,5,8.301029996
C27H41N7O4,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CCCC1CCN(C(=O)OC(C)C)CC1)c(=O)n2C,73,7.13667714
C27H33N7O4,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1NC(=O)C(C)C)c(=O)n2C,3,8.522878745
C26H29N7O2,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1ncc(C)c3ccccc13)c(=O)n2C,1,9
C26H31N7O2,train,CC(C)=CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1ccc3ccccc3n1)c(=O)n2C,12,7.920818754
C19H25N3O2,train,CCc1cc(O)cc(C)c1[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,8.9,8.050609993
C21H19Cl2N5O,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2c(Cl)cc(Cl)cc2c1=O,13,7.886056648
C22H23N5O2,train,COc1cccc2c(=O)n(Cc3ccccc3C#N)c(N3CCCC(N)C3)nc12,30,7.522878745
C16H20F3N3O2,train,CC1C(=O)NCCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,6.6,8.180456064
C19H25F2N3O4,train,COC(=O)CN1CCCN(C(=O)C[C@H](N)Cc2cc(F)ccc2F)[C@H](C)C1=O,11.6,7.935542011
C19H25F2N3O2,train,C[C@@H]1C(=O)N(C2CC2)CCCN1C(=O)C[C@H](N)Cc1cc(F)ccc1F,9,8.045757491
C26H39N7O4,train,CC#CCn1c(N2CCNCC2)nc2c1c(=O)n(CCCN1CCC(C(=O)OC(C)C)CC1)c(=O)n2C,5400,5.26760624
C26H20F3NO3S,train,CS(=O)(=O)c1cccc(-c2ccc3ccc4c(c3c2)C[C@@H](N)[C@H](c2cc(F)c(F)cc2F)O4)c1,14.6,7.835647144
C21H26N2O2,train,COc1cc2c(cc1OC)[C@@H]1C[C@@H](N)[C@@H](c3ccccc3)CN1CC2,270,6.568636236
C21H16F3N5,train,N#Cc1ccccc1-c1cc(N2C[C@H](c3cc(F)c(F)cc3F)[C@@H](N)C2)ncn1,93,7.031517051
C22H28N2O2,train,COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](c3cccc(C)c3)CN1CC2,4,8.397940009
C26H31N7O2,train,CC(C)=CCn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(Cc1nccc3ccccc13)c(=O)n2C,2,8.698970004
C25H37N7O4,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC1CCN(C(=O)OC(C)C)CC1)c(=O)n2C,5000,5.301029996
C28H31N7O2,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)cc3ccccc13)c(=O)n2C1CC1,5,8.301029996
C23H35N7O3,train,CC(C)=CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(CC(=O)N1CCCCC1)c(=O)n2C,250,6.602059991
C21H19F3N4O,train,N[C@H]1CN(c2cc(-c3cccc(CO)c3)ncn2)C[C@@H]1c1cc(F)c(F)cc1F,32,7.494850022
C20H28N4O4,train,Cc1nnc(C(=O)[C@@H]2CCCN2C(=O)CNC23CC4CC(CC(O)(C4)C2)C3)o1,339,6.469800302
C27H30N6O3,train,CC#CCn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(Cc1ccc(OC)c3ccccc13)c(=O)n2C,13,7.886056648
C23H28N6O3,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1ccc(OC)cc1)c(=O)n2C,8,8.096910013
C13H23N3OS,train,O=C([C@@H]1C[C@H](N2CCCCC2)CN1)N1CCSC1,47.6,7.322393047
C13H24N4OS,train,CN1CCN([C@@H]2CN[C@H](C(=O)N3CCSC3)C2)CC1,57.5,7.240332155
C25H25N7O2,train,Cn1c(=O)c2c(nc(N3CCCC(N)C3)n2Cc2ccccc2C#N)n(-c2ccccc2)c1=O,32,7.494850022
C17H16N4O2,train,N#CC1CCCN1C(=O)CNC(=O)c1cncc2ccccc12,100000,4
C19H28N4OS,train,O=C([C@@H]1C[C@H](N2CCN(Cc3ccccc3)CC2)CN1)N1CCSC1,30.5,7.515700161
C14H22N4O2,train,CN(C)C(=O)C[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,4.5,8.346787486
C12H18N4O2,train,CNC(=O)[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,3.5,8.455931956
C23H30N6O2,train,CC(C)=CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1ccccc1)c(=O)n2C,284,6.54668166
C19H29FN4O3,train,CC(C)(C)NCC(=O)N1C[C@@H](F)C[C@H]1C(=O)c1nnc(C2CCCCC2)o1,30,7.522878745
C20H23N2O6P,train,N[C@@H](CC(=O)O)C(=O)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,1000000,3
C22H30N3O4P,train,NCCCC[C@H](N)C(=O)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,117000,3.931814138
C26H27F2N7O2,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C(F)F)cc3ccccc13)c(=O)n2C,6,8.22184875
C22H19F3N4O,train,CC(=O)c1ccc(-c2cc(N3C[C@H](c4cc(F)c(F)cc4F)[C@@H](N)C3)ncn2)cc1,160,6.795880017
C19H13BrF3NO,train,N[C@@H]1Cc2c(ccc3ccc(Br)cc23)O[C@H]1c1cc(F)c(F)cc1F,216.2,6.66514431
C20H13F3N2O,train,N#Cc1ccc2c3c(ccc2c1)O[C@@H](c1cc(F)c(F)cc1F)[C@H](N)C3,8.42,8.074687909
C28H43N7O4,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CCCCN1CCC(C(=O)OC(C)C)CC1)c(=O)n2C,400,6.397940009
C23H30N2O2,train,COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](c3ccc(C)c(C)c3)CN1CC2,3730,5.428291168
C17H16N4O2,train,N#CC1CCCN1C(=O)CNC(=O)c1ccnc2ccccc12,100000,4
C34H36N3O6P,train,NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N1Cc2ccccc2[C@H]1P(=O)(Oc1ccccc1)Oc1ccccc1,50000,4.301029996
C38H42N5O8P,train,CC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(C)=O)cc2)C2c3ccccc3CN2C(=O)[C@H](CCCCN)NC(=O)OCc2ccccc2)cc1,250000,3.602059991
C25H32N6O3,train,CC(C)=CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(C(C)C(=O)c1ccccc1)c(=O)n2C,2160,5.665546249
C21H20F2N4,train,N[C@H]1CC(N2Cc3c[nH]nc3C2)c2ccccc2[C@@H]1c1cc(F)ccc1F,1000,6
C21H30F2N2O,train,C[C@@H](C1CCC(c2ccc(F)cc2)CC1)[C@H](N)C(=O)N1CC[C@](C)(F)C1,390,6.408935393
C19H14F3NO,train,N[C@@H]1Cc2c(ccc3ccccc23)O[C@H]1c1cc(F)c(F)cc1F,110.1,6.958212681
C27H35N7O4,train,C/C=C/Cn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1NC(=O)C(C)C)c(=O)n2C,4,8.397940009
C19H22F2N4O2S,train,CS(=O)(=O)n1cc2c(n1)CN([C@@H]1C[C@H](N)[C@@H](c3cc(F)ccc3F)[C@@H]3C[C@@H]31)C2,5.4,8.26760624
C21H19N5,train,N#Cc1cccc(-c2cc(N3C[C@H](c4ccccc4)[C@@H](N)C3)ncn2)c1,1400,5.853871964
C20H19ClN4,train,N[C@H]1CN(c2cc(Cl)nc(-c3ccccc3)n2)C[C@@H]1c1ccccc1,3000,5.522878745
C27H41N7O4,train,CC#CCn1c(N2CCCNCC2)nc2c1c(=O)n(CCCN1CCC(C(=O)OC(C)C)CC1)c(=O)n2C,2600,5.585026652
C20H16F3NO2,train,COc1ccc2ccc3c(c2c1)C[C@H](N)[C@@H](c1cc(F)c(F)cc1F)O3,60.61,7.217455716
C19H32FN3O2,train,C[C@@H](C1CCC(N(C)C(=O)C2CC2)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1,47,7.327902142
C20H19ClN4,train,N[C@H]1CN(c2cc(-c3ccc(Cl)cc3)ncn2)C[C@@H]1c1ccccc1,3000,5.522878745
C26H39N7O4,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CCN1CCC(C(=O)OC(C)C)CC1)c(=O)n2C,760,6.119186408
C19H14F3NO3,train,Cc1cc(=O)oc2c3c(ccc12)O[C@H](c1cc(F)c(F)cc1F)[C@H](N)C3,21520,4.667157733
C17H20F2N4O,train,C[C@]1(N2Cc3c[nH]nc3C2)CO[C@H](c2cc(F)ccc2F)[C@@H](N)C1,34.5,7.462180905
C20H16F3NO3S,train,CS(=O)(=O)c1ccc2c3c(ccc2c1)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,5.8,8.236572006
C27H41N7O4,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CCCN1CCC(C(=O)OCCC)CC1)c(=O)n2C,500,6.301029996
C20H17F2NO2,train,COc1ccc2ccc3c(c2c1)C[C@H](N)[C@@H](c1cc(F)ccc1F)O3,32.64,7.48624985
C17H16N4O2,train,N#CC1CCCN1C(=O)CNC(=O)c1cccc2cnccc12,100000,4
C25H30N8O2,train,CC(C)=CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1ncnc3ccccc13)c(=O)n2C,4,8.397940009
C21H19F3N4O,train,COc1ccccc1-c1cc(N2C[C@H](c3cc(F)c(F)cc3F)[C@@H](N)C2)ncn1,180,6.744727495
C17H16N4O2,train,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1cnc2ccccc2c1,100000,4
C29H30ClN7O2,train,Cc1cc2ccccc2c(Cn2c(=O)c3c(nc(N4CCC[C@@H](N)C4)n3Cc3ccccc3Cl)n(C)c2=O)n1,11,7.958607315
C16H24N4O2,train,C[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N1CCCC1,6.5,8.187086643
C24H28N6O4,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1cccc(OC)c1)c(=O)n2C,3,8.522878745
C16H24N4O2S,train,C[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N1CCSCC1,6.2,8.207608311
C21H18F3NO3,train,COc1cc2ccc3c(c2cc1OC)C[C@H](N)[C@@H](c1cc(F)c(F)cc1F)O3,2.06,8.68613278
C20H13F3N2O,train,N#Cc1ccc2ccc3c(c2c1)C[C@@H](N)[C@H](c1cc(F)c(F)cc1F)O3,205.2,6.687822644
C26H31N7O2,train,CC(C)=CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1cc3ccccc3cn1)c(=O)n2C,9,8.045757491
C21H19F3N2O4S,train,COc1cc2c3c(ccc2cc1NS(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,6.13,8.212539525
C21H18F3NO4S,train,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.9,8.721246399
C22H27N7O3,train,COCCn1c(=O)c2c(nc(N3CCCC(N)C3)n2Cc2ccccc2C#N)n(C)c1=O,264,6.578396073
C19H26N2,train,CCCC[C@H]1CN(c2ccc3ccccc3c2)CC[C@H]1N,1500,5.823908741
C18H24F3N3O2,train,C[C@@H]1C(=O)NCC(C)(C)CN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,142,6.847711656
C15H24N2,train,CCCC[C@H]1CN(c2ccccc2)CC[C@H]1N,3500,5.455931956
C16H15F6N5O,train,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1c(F)ccc(F)c1F,151,6.821023053
C16H15F6N5O,train,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1c(F)cc(F)cc1F,87,7.060480747
C17H22F3N3O2,train,C[C@H]1CCN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)[C@H](C)C(=O)N1,397,6.401209493
C24H28F3N3O2,train,Cc1ccccc1C[C@@H]1C(=O)N[C@H](C)CCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,1.49,8.826813732
C15H24N4O2,train,CCN(C)C(=O)[C@H]1C[C@@H](C(=O)N2CCC[C@H]2C#N)N[C@H]1C,15,7.823908741
C25H30F3N3O3,train,C[C@@H]1C(=O)N(CCOCc2ccccc2)CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,10.5,7.978810701
C20H14F3NO3,train,N[C@H]1Cc2c(ccc3cc(C(=O)O)ccc23)O[C@@H]1c1cc(F)c(F)cc1F,17.65,7.75325529
C27H35N7O4,train,C/C=C/Cn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1NC(=O)C(C)C)c(=O)n2C,4,8.397940009
C17H28N4O3,train,CC(C)(C)NCC(=O)N1CCC[C@H]1C(=O)c1nnc(C(C)(C)C)o1,56,7.251811973
C18H24F3N3O3S,train,N[C@H](C(=O)N1CC[C@H](F)C1)C1CCC(NS(=O)(=O)c2ccc(F)cc2F)CC1,48,7.318758763
C20H17F2NO2,train,COc1ccc2ccc3c(c2c1)C[C@H](N)[C@@H](c1ccc(F)cc1F)O3,78.33,7.106071873
C18H12F3NO3,train,N[C@@H]1Cc2c(ccc3ccc(=O)oc23)O[C@H]1c1cc(F)c(F)cc1F,206.71,6.684638513
C30H30N8O2,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(-c3ccccc3)c3ccccc3n1)c(=O)n2C,4,8.397940009
C15H16F2N4O,train,N[C@@H](CC(=O)N1CCn2nccc21)Cc1cc(F)ccc1F,1325,5.877784122
C27H33N7O5,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1OCC(=O)NCC)c(=O)n2C,2,8.698970004
C19H27N3OS,train,O=C([C@@H]1C[C@H](N2CCC(c3ccccc3)CC2)CN1)N1CCSC1,5.6,8.251811973
C23H35FN3O3,train,COc1ccc(C(=O)N(C)C2CCC([C@H](C)[C@H]([NH3+])C(=O)N3CC[C@H](F)C3)CC2)cc1,97,7.013228266
C26H27FN6O2,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1ccc(F)c3ccccc13)c(=O)n2C,12,7.920818754
C29H37N7O5,train,CC(C)=CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1C(=O)N1CCOCC1)c(=O)n2C,6,8.22184875
C23H25F4N3O2,train,C[C@@H]1CCN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)[C@H](Cc2ccccc2F)C(=O)N1,2.77,8.557520231
C23H28N6O3,train,C/C=C/Cn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1)c(=O)n2C,3,8.522878745
C17H25N5OS,train,O=C([C@@H]1C[C@H](N2CCN(c3ccccn3)CC2)CN1)N1CCSC1,2.7,8.568636236
C24H23F5N6O2,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(C/C=C/c1c(F)c(F)c(F)c(F)c1F)c(=O)n2C,8,8.096910013
C12H19N3O2,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](CCO)CN1,3.8,8.420216403
C20H17F3N2O3S,train,CS(=O)(=O)Nc1ccc2c3c(ccc2c1)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,8.91,8.050122296
C19H14F3NO3,train,Cc1cc(=O)oc2c3c(ccc12)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,165,6.782516056
C18H30N2O3,train,CCCC[C@H]1CN(c2cc(OC)c(OC)c(OC)c2)CC[C@H]1N,2300,5.638272164
C25H31FN4O3,train,Cc1ccc(C(=O)N(C)c2ccc([C@H](C(=O)N(C)C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)cc1,25,7.602059991
C23H28FN3O4,train,COc1cc(CNC(=O)[C@@H]2CCCN2C(=O)C[C@H](N)Cc2ccccc2F)ccc1O,864,6.063486258
C16H19N3O,train,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](c2ccccc2)CN1,3.5,8.455931956
C18H23N3O,train,Cc1cccc(C)c1[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,6.1,8.214670165
C25H30N6O5,train,CC(C)=CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(CC(=O)c1cccc(C(=O)O)c1)c(=O)n2C,5,8.301029996
C26H29N7O2,train,CC#CCn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(Cc1ncc(C)c3ccccc13)c(=O)n2C,3,8.522878745
C19H19F6N5O,train,C=CCC(C(=O)N1CCn2c(nnc2C(F)(F)F)C1)[C@H](N)Cc1cc(F)c(F)cc1F,1995,5.7000571
C30H39N7O4,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CCCN1CCC(C(=O)Oc3ccccc3)CC1)c(=O)n2C,280,6.552841969
C21H28N2O,train,CCCC[C@@H]1CN(c2ccc(Oc3ccccc3)cc2)CC[C@H]1N,15000,4.823908741
C16H20F3N3O2,train,CC1CCNC(=O)CN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,765,6.116338565
C25H27F2N5O5S,train,C[C@]1(N2Cc3cn(S(=O)(=O)NC(=O)OCc4ccccc4)nc3C2)CO[C@H](c2cc(F)ccc2F)[C@@H](N)C1,8.8,8.055517328
C14H20N2O,train,CC[C@@H](C)[C@H](N)C(=O)N1Cc2ccccc2C1,90000,4.045757491
C28H41N7O4,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CCCN1CCC(C(=O)OC3CCC3)CC1)c(=O)n2C,610,6.214670165
C17H22F3N3O2,train,C[C@@H]1CNC(=O)[C@@H](C)N(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C1,33,7.48148606
C18H24F3N3O2,train,CC[C@@H]1C(=O)NC[C@@H](C)CN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,60.3,7.219682688
C26H39N7O4,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CCC1CCN(C(=O)OC(C)C)CC1)c(=O)n2C,950,6.022276395
C26H34N6O5,train,COc1cccc(C(=O)Cn2c(=O)c3c(nc(N4CCCC(N)C4)n3CC=C(C)C)n(C)c2=O)c1OC,22,7.657577319
C25H28N6O5,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1cccc3c1OCCO3)c(=O)n2C,3,8.522878745
C30H40N8O3,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CCCN1CCC(C(=O)Nc3ccccc3)CC1)c(=O)n2C,220,6.657577319
C16H13F8N5O,train,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1c(F)c(F)c(F)c(F)c1F,1018,5.992252222
C23H32F4N4O5S,train,CN(C)C(=O)[C@@H](C1CCC(NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1,360,6.443697499
C18H25FN4OS,train,O=C([C@@H]1C[C@H](N2CCN(c3ccc(F)cc3)CC2)CN1)N1CCSC1,12.2,7.913640169
C19H13BrF3NO,train,N[C@H]1Cc2c(ccc3cc(Br)ccc23)O[C@@H]1c1cc(F)c(F)cc1F,5.17,8.286509457
C24H26N6O5,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CC(=O)c1cccc3c1OCO3)c(=O)n2C,4,8.397940009
C30H45N7O4,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CCCN1CCC(C(=O)OC3CCCCC3)CC1)c(=O)n2C,360,6.443697499
C26H39N7O4,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CCCN1CCC(C(=O)OCC)CC1)c(=O)n2C,140,6.853871964
C9H22BN3O3,train,CCCC[C@H](NC(=O)[C@@H](N)CCN)B(O)O,33000,4.48148606
C27H27N7O2,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1ccc(C#N)c3ccccc13)c(=O)n2C,3,8.522878745
C26H30N3O4P,train,NCCCC[C@H](N)C(=O)N1Cc2ccccc2C1P(=O)(Oc1ccccc1)Oc1ccccc1,500000,3.301029996
C19H21F5N4O,train,CCn1c(C(F)(F)F)nc2c1CN(C(=O)C[C@H](N)Cc1cc(F)ccc1F)CC2,230,6.638272164
C25H27N7O2,train,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1ccnc3ccccc13)c(=O)n2C,9,8.045757491
C26H29N7O3,train,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1cc(=O)n(C)c3ccccc13)c(=O)n2C,6,8.22184875
C23H23F3N4O,train,Cn1c(-c2ccc(F)cc2)nc2c1CCN(C(=O)C[C@H](N)Cc1cc(F)ccc1F)C2,280,6.552841969
